A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,Class
1,3,36,26,30,1,39,19,25,48,28,4,46,43,33,13,2,48,46,1,45,31,30,44,17,14,29,8,25,4,49,20,47,40,29,41,11,16,18,8,46,47,25,43,27,30,35,12,29,38,32,A
1,3,16,10,2,21,46,2,50,40,10,39,48,40,7,38,27,50,5,10,19,31,33,40,8,11,46,43,29,40,49,36,23,31,30,4,35,25,32,42,22,46,34,30,3,48,26,27,9,4,36,A
1,3,11,2,39,14,27,21,45,47,31,50,43,6,15,14,48,30,21,50,27,42,22,6,6,37,9,48,46,11,42,7,26,16,28,49,8,6,17,50,33,39,33,17,34,46,15,29,20,36,43,A
1,3,38,1,36,17,3,50,36,28,21,3,44,35,28,5,9,47,23,32,46,37,10,5,40,15,40,43,9,33,25,7,24,28,10,40,29,6,29,18,10,36,36,36,6,50,14,10,20,18,38,A
1,3,13,40,3,24,38,15,40,43,13,31,26,29,3,1,50,25,18,2,43,37,40,19,38,17,7,23,14,11,3,9,3,40,4,12,12,9,47,20,45,24,31,16,31,21,39,22,28,26,9,A
1,3,46,31,13,48,45,9,46,1,4,9,48,17,23,34,32,11,17,50,42,41,46,21,15,5,37,50,18,15,12,12,21,2,8,12,50,25,12,45,29,20,50,27,21,13,31,13,22,47,14,A
1,3,6,16,33,9,36,24,3,28,21,33,13,49,23,14,24,43,30,33,31,33,22,13,3,21,22,29,27,33,24,18,15,28,20,14,40,41,23,47,15,5,49,6,1,39,20,16,33,27,50,A
1,3,24,47,16,3,50,42,47,34,25,36,2,44,30,3,38,27,15,41,45,9,4,23,40,32,46,8,12,25,30,23,16,38,39,40,18,27,31,46,40,19,39,48,31,23,47,5,38,4,38,A
1,3,4,5,11,28,1,27,49,32,11,47,13,19,43,39,3,24,48,8,36,38,11,7,19,36,25,26,14,8,19,13,50,16,17,23,47,37,30,29,21,34,22,39,9,44,5,26,30,34,23,A
1,3,38,29,26,30,2,11,18,46,34,5,13,50,9,36,46,43,10,32,11,36,3,28,2,17,41,32,48,48,4,4,26,34,15,31,20,47,1,13,1,41,26,34,17,33,7,25,25,42,27,A
1,3,39,28,11,35,35,28,40,7,39,36,26,7,40,5,16,48,45,6,49,36,5,22,43,35,19,4,39,40,19,48,15,1,15,13,38,1,35,37,32,49,28,15,22,7,44,50,5,16,1,A
1,3,22,36,40,27,21,26,24,36,22,32,47,16,2,20,38,13,17,23,12,37,46,2,47,36,13,8,35,10,43,25,48,16,39,26,2,28,19,32,27,23,10,34,23,31,35,3,23,27,16,A
1,3,5,10,9,49,1,35,37,40,25,7,8,13,11,11,24,7,44,6,35,10,24,38,11,32,26,21,12,38,28,1,21,10,16,14,13,27,4,14,16,26,23,33,2,22,9,34,10,44,33,A
1,3,12,7,26,20,13,47,38,4,17,26,3,21,45,18,23,7,31,13,7,21,7,19,15,6,6,50,39,30,47,39,24,9,8,15,27,47,8,10,24,23,29,33,4,38,9,19,24,38,2,A
1,3,23,42,22,25,11,49,12,7,35,23,46,17,10,34,5,32,5,40,1,26,21,27,3,40,1,40,9,43,7,35,24,46,12,18,9,1,7,50,17,32,47,8,34,36,19,3,49,7,22,A
1,3,50,28,5,18,39,7,50,15,44,15,21,50,2,22,5,26,7,21,45,37,22,43,16,28,30,43,4,48,39,50,6,13,20,14,4,22,24,39,37,46,47,31,31,20,32,26,25,33,1,A
1,3,4,8,11,7,43,24,43,11,46,42,32,40,11,25,20,4,36,34,49,1,12,12,14,15,46,41,48,40,10,27,25,19,20,34,34,28,12,41,31,30,19,44,35,32,21,4,36,48,13,A
1,3,42,37,3,34,15,30,10,28,26,43,43,18,16,10,12,12,6,19,37,47,31,23,50,46,50,46,34,21,33,8,15,49,46,31,19,17,38,24,24,31,43,31,48,19,21,8,15,3,14,A
1,3,29,34,4,39,25,30,5,2,36,20,5,9,9,23,26,19,25,7,27,41,15,47,36,30,22,22,18,47,42,19,20,48,23,30,17,20,26,27,42,19,29,8,6,47,10,7,1,43,39,A
1,3,50,9,17,17,44,28,19,14,26,10,13,36,24,8,29,7,48,33,27,22,22,17,17,26,38,19,39,49,35,38,46,17,15,4,35,14,29,26,31,3,33,1,13,39,24,20,27,16,8,A
1,3,42,8,26,24,47,11,48,1,43,26,14,13,34,9,5,18,34,35,27,26,37,1,49,19,10,20,26,30,15,46,38,43,14,26,30,36,22,49,24,29,17,25,10,8,48,26,37,17,20,A
1,3,12,25,24,13,49,1,33,6,10,28,35,7,31,29,28,29,6,44,47,41,26,19,10,30,49,36,24,37,43,22,9,45,5,50,27,47,34,38,22,18,37,18,16,18,8,3,41,48,20,A
1,3,18,13,23,37,5,8,25,25,20,27,43,10,41,6,22,50,9,50,33,46,33,1,41,41,48,2,46,3,29,41,25,3,34,28,2,9,44,45,37,3,1,7,1,25,45,46,30,18,46,A
1,3,30,37,33,11,17,10,39,2,14,20,43,25,29,41,22,27,23,19,10,1,2,21,1,36,16,35,46,17,23,30,8,40,8,8,41,13,1,4,20,25,2,6,33,19,3,26,16,44,41,A
1,3,14,50,48,20,34,29,10,41,1,7,31,36,8,17,40,7,31,46,43,24,11,11,17,39,33,27,2,2,4,18,19,31,44,48,16,31,19,9,6,19,45,45,4,18,23,44,27,39,23,A
1,3,10,11,14,25,36,39,42,6,42,38,16,9,24,50,4,34,12,7,34,14,12,49,34,45,31,37,30,46,23,19,46,48,50,30,9,30,7,27,35,31,11,30,45,32,15,19,29,30,13,A
1,3,26,31,19,18,47,39,44,40,46,41,41,7,21,9,41,10,28,6,2,44,23,25,48,2,47,49,38,34,29,13,29,1,5,49,27,5,3,10,44,28,12,39,18,50,27,21,17,32,49,A
1,3,13,11,38,4,6,40,43,15,28,15,43,43,3,49,40,27,23,3,47,3,39,37,15,5,17,29,36,9,39,3,20,31,50,12,15,42,48,43,47,47,50,3,49,46,45,40,5,25,17,A
1,3,45,6,50,37,40,49,23,30,16,12,37,18,6,42,17,41,8,6,44,17,50,39,6,13,7,42,45,41,47,22,31,36,5,49,25,50,28,17,43,42,7,16,17,36,2,47,32,29,14,A
1,3,48,2,13,44,1,16,26,13,43,46,3,38,25,19,49,48,14,13,31,23,46,7,47,20,18,49,14,2,19,4,9,2,16,39,45,13,46,48,24,39,9,37,43,4,49,29,36,17,47,A
1,3,36,13,27,14,15,32,11,27,10,25,25,37,26,42,36,34,49,14,30,9,46,47,2,42,50,20,20,46,21,40,21,19,9,23,47,24,10,1,43,50,25,5,41,28,22,39,12,10,24,A
1,3,42,41,28,14,24,23,15,36,10,37,23,10,16,19,5,15,19,4,27,3,38,37,8,13,26,47,13,40,44,24,31,23,47,11,13,14,31,48,6,25,32,33,44,1,7,35,5,43,18,A
1,3,29,48,46,17,29,38,5,6,7,8,45,50,41,43,9,43,2,9,27,14,30,50,42,49,9,49,19,3,39,7,8,45,38,35,36,39,50,20,30,8,40,8,11,42,4,11,18,45,32,A
1,3,47,30,19,49,46,13,25,8,35,45,49,34,22,42,3,28,34,4,34,21,27,10,49,15,19,6,47,32,28,2,49,35,31,49,9,33,10,8,10,2,31,22,50,20,47,26,20,26,3,A
1,3,17,46,3,32,15,2,14,11,17,6,17,12,12,24,25,6,14,43,45,29,50,7,24,5,7,32,49,13,25,38,37,18,35,7,26,26,41,37,22,40,34,33,46,43,4,50,22,23,38,A
1,3,20,48,15,26,32,6,14,39,28,28,37,23,29,25,35,25,35,48,21,10,33,37,9,35,17,14,8,43,20,33,31,25,22,19,11,15,10,33,20,49,37,3,28,43,37,7,27,15,36,A
1,3,31,44,49,37,15,29,46,1,38,4,12,32,22,31,17,19,34,21,40,39,39,18,7,21,28,2,33,25,22,20,8,7,2,50,12,6,18,28,17,42,7,24,6,30,33,17,33,17,16,A
1,3,25,41,24,48,12,42,46,44,16,33,17,28,13,34,48,50,45,37,41,9,44,27,16,17,37,15,17,30,44,43,9,14,22,18,12,37,37,6,28,49,32,33,42,4,38,23,31,29,36,A
1,3,11,17,28,25,34,33,42,38,46,41,18,18,27,24,47,35,48,35,33,25,34,45,35,47,10,6,46,40,42,48,37,45,42,27,43,43,47,13,5,7,8,14,21,41,25,17,29,31,19,A
1,3,2,17,2,39,22,19,3,26,24,36,34,28,39,7,37,13,35,13,1,42,26,32,13,5,22,24,34,41,48,8,35,44,20,24,50,11,20,35,18,43,27,9,50,13,43,36,40,38,36,A
1,3,12,40,4,35,40,6,38,32,13,23,14,13,42,15,42,46,12,13,26,32,33,35,32,39,27,28,32,16,24,39,45,38,4,44,48,35,32,6,27,50,5,7,42,32,43,41,2,21,9,A
1,3,17,19,1,50,16,50,9,2,7,6,50,28,50,35,43,47,41,30,8,46,31,15,44,24,19,15,18,43,42,42,26,26,30,3,30,16,16,32,13,19,6,22,46,47,41,24,20,14,15,A
1,3,48,33,43,20,31,15,10,3,12,4,46,5,29,44,9,33,18,20,31,15,34,16,21,22,43,6,50,10,20,16,38,12,47,14,29,20,1,31,35,50,15,12,50,14,7,31,27,43,6,A
1,3,19,43,4,15,7,11,40,7,28,39,3,36,33,11,11,35,34,9,7,16,34,50,28,15,44,42,2,41,49,11,46,46,12,42,49,25,24,23,39,18,49,45,28,24,8,33,4,2,28,A
1,3,34,33,17,29,3,8,23,13,21,4,38,30,25,28,46,49,17,5,2,46,9,32,21,39,36,38,20,35,11,38,8,26,16,50,38,29,30,2,40,5,47,11,31,34,20,27,16,30,1,A
1,3,21,44,36,45,3,1,8,48,36,33,5,9,44,26,6,41,18,3,47,14,43,35,48,11,2,25,29,39,8,18,48,34,23,46,11,40,8,45,43,37,9,21,43,39,31,44,6,8,2,A
1,3,20,30,29,29,15,23,3,50,1,41,41,41,41,44,16,16,7,5,36,3,31,29,39,19,1,33,36,12,13,29,12,12,41,39,16,31,19,34,4,27,14,1,28,15,33,32,48,1,14,A
1,3,18,21,4,5,7,30,11,41,10,18,2,48,23,3,44,24,24,20,22,20,27,8,45,3,50,39,45,38,40,21,50,18,35,45,26,47,23,10,18,46,37,1,29,22,47,22,16,38,27,A
1,3,44,26,31,47,11,49,41,33,3,20,27,45,23,17,17,5,34,12,45,37,24,15,30,47,45,41,40,20,42,38,27,31,31,18,4,37,19,14,33,27,28,25,11,41,24,10,6,11,23,A
1,3,48,20,1,49,50,39,32,12,36,44,3,27,36,6,47,10,50,41,20,13,27,44,50,7,14,15,38,49,37,41,10,41,33,49,45,28,42,2,14,46,28,10,46,23,3,13,31,41,37,A
1,3,1,1,18,36,48,37,10,25,31,10,20,2,50,50,24,3,18,1,48,7,39,34,33,31,27,39,37,21,47,19,49,12,29,42,13,3,1,26,44,15,22,23,22,16,22,45,35,6,41,A
1,3,40,25,39,7,34,2,39,48,26,3,44,6,38,36,42,41,43,18,27,42,26,6,43,39,4,1,34,4,22,12,21,2,11,47,22,50,42,9,10,10,36,7,20,47,3,33,19,34,1,A
1,3,11,16,11,8,42,6,8,33,36,24,6,16,3,34,31,20,7,35,50,37,18,27,36,8,3,30,34,10,15,37,13,15,25,1,46,34,8,37,11,41,12,39,38,40,30,33,38,35,15,A
1,3,32,50,17,3,31,31,16,11,32,45,44,41,3,4,35,29,22,7,8,7,32,31,32,23,15,28,32,45,35,28,3,45,9,4,35,40,4,17,37,48,29,48,18,10,27,6,45,35,42,A
1,3,1,28,2,26,42,12,38,43,21,49,34,30,43,33,3,7,27,34,2,12,10,48,20,32,44,18,8,23,43,35,33,21,40,4,13,21,29,41,44,24,11,39,7,3,38,1,2,21,43,A
1,3,25,39,26,21,25,4,23,28,17,19,34,46,31,20,25,35,27,3,42,5,32,28,33,20,38,29,34,46,31,17,18,20,9,11,5,24,4,5,19,31,5,29,39,33,25,23,36,23,24,A
1,3,9,45,14,1,12,50,22,12,36,3,47,39,28,5,26,28,43,49,16,28,39,38,37,37,10,42,9,37,5,47,31,7,33,18,36,1,22,7,33,1,15,10,3,5,30,2,25,18,37,A
1,3,13,44,5,24,12,13,5,15,32,1,15,32,12,14,48,25,20,48,14,25,15,8,12,41,11,45,23,48,33,31,39,25,45,7,28,31,48,30,16,5,21,2,27,39,42,23,25,27,48,A
1,3,29,46,2,17,27,31,22,4,34,30,4,36,37,4,6,47,13,45,23,17,44,20,50,20,43,1,20,30,12,17,8,15,19,19,49,41,39,46,17,16,36,16,31,44,1,12,9,12,32,A
1,3,4,11,4,48,30,42,15,3,21,15,49,44,48,36,7,19,40,21,29,23,21,23,14,2,20,35,37,5,25,37,35,19,17,13,35,37,32,22,47,7,16,8,10,40,35,39,31,24,37,A
1,3,10,17,5,25,9,50,8,42,30,36,49,43,48,14,2,24,32,5,21,47,30,47,26,30,3,47,16,43,49,25,48,48,30,37,32,27,12,25,30,7,3,20,35,39,6,40,49,11,25,A
1,3,26,4,38,3,19,39,35,25,47,35,1,26,44,48,32,3,25,17,32,3,11,28,16,25,43,2,29,43,12,22,42,49,40,48,16,21,29,20,42,18,21,15,2,50,35,1,32,20,41,A
1,3,30,16,17,45,14,31,30,46,11,14,42,11,49,1,39,41,20,26,29,50,12,12,27,40,31,16,47,17,8,4,24,41,11,13,23,12,3,39,45,39,45,9,37,18,34,10,48,18,42,A
1,3,40,47,33,29,32,25,28,32,46,15,27,42,45,27,47,3,2,7,18,41,37,49,30,29,44,16,30,5,44,3,29,19,40,2,7,31,26,12,27,20,49,5,32,38,15,32,3,22,19,A
1,3,31,28,45,44,20,9,44,25,49,14,32,16,4,1,45,45,45,18,50,16,26,12,45,8,50,24,8,42,8,3,14,48,34,43,49,39,31,43,14,16,20,47,9,47,9,24,20,14,46,A
1,3,46,5,34,16,41,22,36,28,16,17,27,4,6,34,18,28,42,2,28,35,18,45,3,2,34,10,3,46,7,33,14,33,49,38,45,9,25,14,34,6,27,11,41,14,30,6,35,44,27,A
1,3,11,33,19,29,17,16,23,24,46,9,30,16,46,7,23,39,29,20,21,8,25,33,4,6,49,13,9,48,46,13,13,23,26,48,6,15,44,20,40,36,10,11,29,28,19,42,10,32,28,A
1,3,1,12,2,14,12,10,25,24,22,5,25,20,49,10,30,40,17,18,16,21,4,6,25,16,9,6,7,42,23,49,22,46,38,50,43,29,36,42,27,31,4,14,1,45,13,26,24,22,18,A
1,3,31,20,42,33,50,32,42,4,15,3,50,31,2,32,45,10,29,32,11,9,10,48,50,37,29,12,13,6,19,49,43,19,14,40,41,42,19,39,39,24,12,38,30,43,20,4,27,10,47,A
1,3,36,19,34,15,48,30,7,18,26,22,41,36,22,50,8,50,22,12,41,31,40,18,15,34,46,39,22,16,36,50,44,2,19,43,37,31,34,12,43,3,44,27,45,46,8,35,14,31,28,A
1,3,2,12,42,13,22,19,20,11,18,46,4,47,23,27,15,11,4,20,26,10,18,19,45,23,23,46,34,46,27,33,20,47,29,39,2,50,2,6,28,28,29,23,35,37,44,32,14,10,28,A
1,3,31,29,44,2,47,6,41,12,38,36,40,49,14,32,44,31,45,43,50,6,16,39,22,2,15,31,18,29,36,50,45,42,50,31,10,39,42,38,34,11,1,47,50,15,29,11,35,19,41,A
1,3,25,4,40,46,23,24,33,36,45,17,42,18,48,22,17,6,28,22,44,31,32,45,6,9,15,21,47,41,16,19,1,30,21,47,45,39,36,8,37,39,46,24,44,25,47,7,8,20,11,A
1,3,46,14,42,31,32,45,43,25,15,19,35,50,38,4,25,20,22,1,38,23,45,19,31,41,35,25,39,47,40,18,26,17,8,38,25,35,36,20,22,33,32,48,26,42,34,47,41,47,48,A
1,3,24,30,14,15,28,1,12,11,44,46,13,6,5,10,5,29,7,13,25,33,19,24,14,16,26,3,37,35,20,13,5,8,15,45,2,36,28,6,3,39,30,13,11,3,48,42,14,30,37,A
1,3,34,31,23,17,30,11,44,1,49,2,46,35,33,27,24,40,27,17,42,48,40,3,1,27,1,31,27,23,41,31,27,19,3,12,18,9,35,23,48,17,48,18,36,27,24,9,44,25,24,A
1,3,23,50,13,26,48,50,20,33,42,3,30,12,42,9,18,13,37,38,13,26,3,49,17,10,30,18,43,45,23,27,5,4,49,20,42,46,6,25,40,17,2,9,50,4,46,4,46,18,28,A
1,3,8,29,47,6,30,22,6,41,35,9,8,46,3,19,22,20,31,40,42,18,37,11,31,20,27,1,42,48,29,35,19,30,25,38,22,46,42,34,49,47,31,5,11,19,14,29,36,14,20,A
1,3,4,25,20,7,11,44,18,19,28,24,49,34,3,49,16,50,26,23,9,22,2,15,38,34,26,12,15,11,44,11,19,14,41,16,35,31,32,48,12,50,50,12,45,29,39,16,28,25,50,A
1,3,50,10,20,33,43,38,14,17,5,4,20,12,49,22,39,23,43,5,37,48,35,29,3,25,30,26,6,31,28,18,30,14,15,13,18,16,20,31,50,14,23,31,26,2,29,19,50,48,33,A
1,3,6,10,43,34,13,35,25,20,33,17,45,1,22,6,15,48,42,2,20,29,6,31,30,45,47,7,23,18,21,18,14,43,50,42,37,25,19,35,50,29,20,43,31,25,23,49,33,35,24,A
1,3,29,25,46,2,49,31,29,15,3,16,29,14,34,44,42,39,18,15,49,20,2,15,4,38,26,31,46,15,10,18,12,10,10,5,43,18,41,29,10,22,34,40,36,28,40,14,1,42,28,A
1,3,4,11,29,34,41,22,23,4,48,44,42,8,15,18,47,45,18,34,29,19,25,4,28,26,5,17,48,29,24,7,5,16,45,20,34,28,2,28,27,11,16,6,17,4,49,17,41,22,7,A
1,3,25,46,17,43,49,19,33,50,40,24,23,39,7,41,24,28,31,28,21,16,12,40,42,22,1,50,30,10,48,48,14,25,38,18,37,30,48,11,37,3,48,2,16,13,16,50,7,40,22,A
1,3,6,22,38,15,40,39,17,27,32,30,46,42,23,49,12,14,42,39,17,43,48,20,21,11,37,19,19,45,40,38,44,32,44,50,12,22,16,28,34,34,20,19,36,25,36,27,48,34,3,A
1,3,17,1,16,48,19,44,33,35,6,46,39,27,15,15,25,40,10,15,6,40,34,9,47,13,34,15,38,45,38,14,30,45,30,12,1,24,13,26,41,34,30,20,49,18,27,33,39,35,35,A
1,3,50,9,15,19,30,25,44,29,2,31,11,1,27,46,5,1,3,38,7,23,6,24,37,29,29,27,4,50,4,48,11,41,16,7,50,24,14,43,18,22,44,46,38,12,37,5,28,44,25,A
1,3,14,22,41,35,14,44,6,30,47,30,31,3,49,2,4,34,46,15,8,39,1,3,26,30,9,14,10,31,1,34,6,24,3,25,27,25,3,26,9,17,14,17,40,46,28,30,17,47,12,A
1,3,46,1,41,6,44,38,20,42,20,15,49,48,48,49,20,29,35,48,7,28,34,34,2,7,3,7,34,35,43,37,23,29,36,47,7,23,47,4,29,26,29,38,22,43,45,48,18,48,42,A
1,3,33,2,17,11,15,38,38,23,18,1,5,25,21,34,34,3,2,31,18,32,13,34,43,34,42,25,46,3,42,36,3,44,40,44,21,32,40,1,30,41,16,35,4,17,1,47,39,32,47,A
1,3,9,1,48,11,28,2,15,24,42,45,9,39,46,46,49,37,34,34,46,11,44,10,10,20,13,38,19,40,36,22,31,41,12,36,33,25,32,47,45,28,10,33,28,33,37,8,1,47,29,A
1,3,22,27,24,17,20,8,26,31,2,3,35,37,49,18,5,6,18,19,47,15,36,27,18,23,28,15,45,20,30,41,22,8,30,1,14,32,11,50,19,31,40,50,22,27,7,48,24,46,45,A
1,3,49,20,11,30,48,40,19,34,35,21,11,35,24,13,18,29,24,4,2,27,12,42,45,20,34,45,31,7,34,46,31,42,49,14,8,43,15,13,36,29,27,40,28,42,35,21,17,18,11,A
1,3,32,37,10,5,33,18,8,12,21,31,49,9,37,3,42,3,44,39,44,37,7,23,15,40,30,49,3,32,18,47,21,27,14,32,13,11,21,50,7,38,21,19,10,14,29,18,33,24,14,A
1,3,50,50,25,33,47,2,10,41,20,44,36,28,3,43,22,6,20,30,30,26,27,8,14,20,9,3,43,16,45,1,40,44,23,23,12,50,31,32,39,46,29,13,48,16,2,13,24,32,31,A
1,3,29,4,16,27,5,46,27,7,11,23,4,42,17,2,4,23,35,42,17,9,20,9,42,49,7,14,21,20,30,29,17,24,13,26,50,18,6,13,27,25,18,40,41,34,39,42,16,47,18,A
1,3,32,2,46,28,12,24,27,34,24,7,8,39,14,42,14,37,23,12,36,16,36,49,9,6,13,22,7,29,17,1,21,23,5,46,31,38,5,35,31,44,28,28,42,6,50,12,46,35,28,A
1,3,1,27,32,23,45,3,45,26,48,33,26,18,17,23,11,22,49,37,11,30,7,10,44,44,11,12,20,39,24,18,8,4,34,7,44,17,13,46,44,10,46,18,28,41,8,13,16,48,28,A
1,3,38,6,13,10,1,15,12,3,13,37,11,4,27,25,15,47,1,45,35,24,22,17,23,4,42,47,14,47,41,31,20,32,41,2,22,27,38,34,6,8,43,31,6,18,24,49,43,27,9,A
1,3,29,41,24,50,17,15,37,8,31,31,21,43,43,26,46,38,41,41,32,1,48,21,9,3,34,17,13,11,10,2,47,43,1,11,21,19,16,12,1,33,41,11,40,17,12,46,38,45,46,A
1,3,5,14,9,33,16,11,38,41,2,50,1,3,33,11,2,14,39,38,33,16,17,8,21,21,14,11,10,12,2,3,31,8,7,13,49,21,25,37,7,41,49,33,34,11,41,25,35,45,15,A
1,3,38,50,29,37,9,31,34,1,12,3,24,3,15,25,26,38,2,37,30,15,38,49,14,2,21,2,36,45,15,43,40,30,30,46,46,11,18,26,45,1,4,17,38,41,20,5,3,30,25,A
1,3,7,45,42,2,30,38,35,19,4,48,42,31,37,21,35,17,3,39,1,2,46,28,42,22,17,33,30,11,42,14,50,23,45,30,5,29,8,22,4,13,10,30,39,33,3,46,13,17,43,A
1,3,36,24,30,31,37,38,44,7,11,50,13,27,25,25,24,40,34,32,16,31,36,9,7,11,43,40,49,38,15,15,13,33,5,14,9,21,39,14,23,16,23,19,37,1,3,22,33,31,27,A
1,3,4,44,1,35,14,25,19,32,9,3,41,13,25,48,37,25,22,48,37,17,2,43,44,38,35,1,38,39,44,24,29,1,26,12,47,42,34,2,10,15,37,22,4,40,39,8,3,31,49,A
1,3,35,36,5,14,14,38,8,30,47,44,20,38,45,34,44,28,48,11,1,5,9,23,13,22,26,23,13,31,37,25,45,14,33,10,25,17,26,6,43,11,18,41,18,2,12,10,35,50,27,A
1,3,10,43,43,6,25,49,20,44,31,38,24,14,6,32,11,14,32,45,10,22,45,13,19,38,6,17,12,40,17,9,7,47,1,30,43,30,36,12,31,24,21,47,41,14,24,28,7,49,10,A
1,3,21,27,32,1,48,7,4,46,10,22,50,45,49,37,22,48,37,8,44,24,26,27,18,26,45,43,19,50,19,24,13,7,20,19,46,44,21,41,33,28,19,39,7,35,48,12,50,5,30,A
1,3,44,39,35,18,10,37,14,4,40,7,30,20,10,28,22,17,22,36,47,3,9,22,25,22,12,44,14,2,7,24,14,45,14,41,45,6,14,23,23,8,10,34,47,41,29,11,8,50,21,A
1,3,37,1,20,34,33,34,26,6,26,4,46,9,47,42,4,8,18,16,45,4,11,5,10,10,47,49,46,30,15,50,35,32,33,13,38,15,25,49,6,44,4,6,34,48,35,49,50,8,1,A
1,3,13,20,4,8,33,5,35,1,20,42,19,1,40,22,32,50,14,38,30,8,18,10,47,3,33,31,36,32,41,13,39,50,18,30,19,16,48,22,24,36,26,39,47,5,26,20,18,6,12,A
1,3,46,46,24,41,22,9,45,9,50,25,19,46,20,38,24,39,1,46,50,38,45,30,50,10,40,41,3,26,10,3,19,34,18,8,22,19,23,29,36,4,22,33,21,31,31,22,3,48,26,A
1,3,31,5,21,42,3,4,33,42,36,43,17,23,21,14,14,3,49,9,42,22,50,41,8,2,16,40,23,11,19,47,34,8,11,13,14,5,22,33,40,36,43,30,27,45,24,5,50,1,31,A
1,3,43,3,28,22,30,11,40,48,38,33,13,6,35,48,32,21,4,24,43,15,25,32,37,10,24,38,46,24,11,10,47,11,35,47,26,44,32,18,38,5,25,23,42,40,9,40,47,39,4,A
1,3,7,37,33,34,13,32,25,29,45,1,18,14,20,11,44,12,10,25,23,5,14,18,46,25,1,12,12,41,26,40,20,42,7,29,38,23,35,44,46,22,2,13,30,47,30,6,38,35,36,A
1,3,44,8,10,1,31,9,20,47,19,2,3,5,40,46,18,18,22,28,14,38,33,24,1,14,10,37,26,19,50,23,11,19,32,35,9,34,23,18,30,13,29,22,35,6,19,3,43,14,8,A
1,3,18,24,32,10,31,19,46,3,9,12,8,45,5,48,48,27,6,35,41,19,4,30,13,29,38,31,5,16,3,18,17,36,22,38,39,44,26,38,26,19,21,45,1,44,43,18,38,38,46,A
1,3,11,28,31,31,43,46,9,49,10,41,36,18,4,8,23,30,17,44,36,7,22,50,18,25,30,24,17,18,14,39,34,21,35,5,33,21,5,50,31,26,21,40,13,48,50,49,5,7,34,A
